Country Name,Country Code,Series Name,Series Code,Year,Value
China,CHN,"Population, total",SP.POP.TOTL,1990,1135185000
China,CHN,Population growth (annual %),SP.POP.GROW,1990,1.46730321087928
China,CHN,Surface area (sq. km),AG.SRF.TOTL.K2,1990,9562950
China,CHN,Population density (people per sq. km of land area),EN.POP.DNST,1990,120.915506084734
China,CHN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,1990,..
China,CHN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,1990,83
China,CHN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1990,374893953358.05
China,CHN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1990,330
China,CHN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1990,1127711985649.35
China,CHN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1990,990
China,CHN,Income share held by lowest 20%,SI.DST.FRST.20,1990,8.3
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,68.155
China,CHN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1990,2.514
China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1990,23.214
China,CHN,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,1990,..
China,CHN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,1990,94
China,CHN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1990,53.7
China,CHN,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,1990,12.6
China,CHN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,1990,98
China,CHN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,1990,106.013153076172
China,CHN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1990,120.852439880371
China,CHN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,1990,39.0024795532227
China,CHN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1990,0.848609983921051
China,CHN,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,1990,..
China,CHN,Forest area (sq. km),AG.LND.FRST.K2,1990,1571405.9
China,CHN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,1990,..
China,CHN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,1990,17.7752497422589
China,CHN,Urban population growth (annual %),SP.URB.GROW,1990,4.30967848070248
China,CHN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1990,773.250116673841
China,CHN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1990,510.619854913516
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1990,361560229445.507
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1990,3.9416305983694
China,CHN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1990,5.70899557490583
China,CHN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,26.5326691193891
China,CHN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1990,40.9532139003469
China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,1990,13.5882641172526
China,CHN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,1990,10.6377183627152
China,CHN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,1990,34.0914985430681
China,CHN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,1990,..
China,CHN,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,1990,..
China,CHN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1990,..
China,CHN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1990,2.45401611552735
China,CHN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1990,0.001587842
China,CHN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,1990,..
China,CHN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,1990,31.9271840758133
China,CHN,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,1990,108.2696793657
China,CHN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1990,55301409898.8
China,CHN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,1990,11.6854750368432
China,CHN,Net migration,SM.POP.NETM,1990,-11187
China,CHN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1990,195940000
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1990,3487000000
China,CHN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1990,2030599975.58594
Thailand,THA,"Population, total",SP.POP.TOTL,1990,54738329
Thailand,THA,Population growth (annual %),SP.POP.GROW,1990,1.63811607952745
Thailand,THA,Surface area (sq. km),AG.SRF.TOTL.K2,1990,513120
